self.round_id,multiplier,std_time,unix_time
133,1.02,2025-03-16 20:45:02,1742147102
134,1.32,2025-03-16 20:45:18,1742147118
135,1.13,2025-03-16 20:45:32,1742147132
136,1.44,2025-03-16 20:45:53,1742147153
137,1.0,2025-03-16 20:46:07,1742147167
138,3.59,2025-03-16 20:46:34,1742147194
139,3.6,2025-03-16 20:47:01,1742147221
140,1.0,2025-03-16 20:47:19,1742147239
141,1.05,2025-03-16 20:47:34,1742147254
142,2.82,2025-03-16 20:48:00,1742147280
143,3.95,2025-03-16 20:48:31,1742147311
144,7.45,2025-03-16 20:49:07,1742147347
145,1.35,2025-03-16 20:49:29,1742147369
146,2.28,2025-03-16 20:49:53,1742147393
147,1.11,2025-03-16 20:50:09,1742147409
148,1.12,2025-03-16 20:50:26,1742147426
149,2.08,2025-03-16 20:50:51,1742147451
150,4.37,2025-03-16 20:51:21,1742147481
151,2.03,2025-03-16 20:51:47,1742147507
152,4.4,2025-03-16 20:52:17,1742147537
153,8.49,2025-03-16 20:53:16,1742147596
154,2.1,2025-03-16 20:53:21,1742147601
155,1.77,2025-03-16 20:53:43,1742147623
156,27.51,2025-03-16 20:54:33,1742147673
157,14.11,2025-03-16 20:55:19,1742147719
158,3.04,2025-03-16 20:55:50,1742147750
159,1.12,2025-03-16 20:56:08,1742147768
160,1.87,2025-03-16 20:56:31,1742147791
161,2.5,2025-03-16 20:56:52,1742147812
162,2.37,2025-03-16 20:57:15,1742147835
163,5.72,2025-03-16 20:57:47,1742147867
164,1.26,2025-03-16 20:58:06,1742147886
165,3.61,2025-03-16 20:58:36,1742147916
166,1.97,2025-03-16 20:59:00,1742147940
167,50.49,2025-03-16 21:00:00,1742148000
168,3.12,2025-03-16 21:00:28,1742148028
169,4.76,2025-03-16 21:00:57,1742148057
170,8.1,2025-03-16 21:01:32,1742148092
171,1.35,2025-03-16 21:01:51,1742148111
172,3.25,2025-03-16 21:02:19,1742148139
173,1.09,2025-03-16 21:02:34,1742148154
174,1.26,2025-03-16 21:02:52,1742148172
175,3.81,2025-03-16 21:03:19,1742148199
176,1.71,2025-03-16 21:03:44,1742148224
177,1.02,2025-03-16 21:03:57,1742148237
